Date,Product,Category,Price,Quantity
2024-05-16,Sugar,Groceries,79,9
2024-04-04,Biscuits,Snacks,301,7
2024-04-29,Rice,Groceries,162,11
2024-04-02,Tea,Beverages,470,15
2024-06-05,Sugar,Groceries,160,18
2024-04-03,Cooking Oil,Groceries,496,9
2024-02-10,Biscuits,Snacks,391,18
2024-06-11,Soap,Household,149,11
2024-01-02,Rice,Groceries,378,12
2024-04-10,Chocolate,Snacks,337,13
2024-06-26,Biscuits,Snacks,112,18
2024-03-20,Chocolate,Snacks,466,15
2024-03-25,Chocolate,Snacks,287,4
2024-05-26,Shampoo,Household,98,18
2024-04-02,Chocolate,Snacks,198,11
2024-04-24,Milk,Dairy,150,3
2024-05-04,Bread,Bakery,44,2
2024-05-25,Coffee,Beverages,228,10
2024-02-07,Rice,Groceries,21,4
2024-03-19,Biscuits,Snacks,77,9
2024-02-25,Cooking Oil,Groceries,96,4
2024-05-15,Sugar,Groceries,66,11
2024-04-09,Milk,Dairy,114,8
2024-06-05,Soap,Household,288,12
2024-04-20,Sugar,Groceries,463,18
2024-04-17,Detergent,Household,201,4
2024-01-18,Bread,Bakery,204,17
2024-01-10,Milk,Dairy,267,7
2024-02-23,Detergent,Household,99,9
2024-01-25,Bread,Bakery,473,1
2024-01-29,Soap,Household,302,20
2024-03-31,Sugar,Groceries,278,5
2024-06-16,Tea,Beverages,101,14
2024-05-30,Chocolate,Snacks,187,13
2024-04-28,Bread,Bakery,436,19
2024-06-19,Tea,Beverages,102,13
2024-01-27,Bread,Bakery,490,19
2024-01-28,Milk,Dairy,128,2
2024-05-18,Coffee,Beverages,366,2
2024-06-01,Biscuits,Snacks,90,4
2024-03-26,Shampoo,Household,268,8
2024-05-06,Detergent,Household,443,7
2024-02-28,Coffee,Beverages,69,4
2024-05-24,Tea,Beverages,236,15
2024-03-13,Cooking Oil,Groceries,68,15
2024-04-03,Milk,Dairy,193,7
2024-04-26,Soap,Household,244,17
2024-01-23,Milk,Dairy,238,16
2024-05-12,Coffee,Beverages,131,17
2024-03-30,Shampoo,Household,281,13
2024-06-06,Soap,Household,228,12
2024-03-31,Biscuits,Snacks,153,5
2024-04-26,Milk,Dairy,86,18
2024-05-04,Coffee,Beverages,230,16
2024-01-29,Rice,Groceries,215,20
2024-03-14,Shampoo,Household,337,10
2024-01-03,Tea,Beverages,363,17
2024-02-09,Rice,Groceries,454,7
2024-04-12,Rice,Groceries,290,9
2024-01-25,Rice,Groceries,455,9
2024-01-12,Coffee,Beverages,55,7
2024-05-22,Chocolate,Snacks,47,3
2024-06-18,Soap,Household,273,2
2024-04-18,Detergent,Household,67,2
2024-06-05,Shampoo,Household,472,13
2024-06-13,Tea,Beverages,298,3
2024-05-19,Biscuits,Snacks,206,9
2024-01-08,Biscuits,Snacks,109,6
2024-01-29,Milk,Dairy,147,8
2024-04-10,Tea,Beverages,63,19
2024-05-11,Soap,Household,462,7
2024-02-22,Shampoo,Household,195,8
