Date,Product,Category,Price,Quantity
2024-02-10,Detergent,Household,352,12
2024-03-05,Coffee,Beverages,421,3
2024-05-19,Biscuits,Snacks,119,17
2024-05-12,Biscuits,Snacks,450,12
2024-03-18,Tea,Beverages,74,5
2024-01-25,Coffee,Beverages,161,19
2024-06-11,Tea,Beverages,309,12
2024-04-06,Chocolate,Snacks,380,1
2024-06-22,Cooking Oil,Groceries,466,6
2024-06-26,Rice,Groceries,42,13
2024-04-12,Shampoo,Household,181,19
2024-04-06,Shampoo,Household,406,2
2024-02-17,Milk,Dairy,446,10
2024-03-16,Soap,Household,443,15
2024-02-09,Tea,Beverages,265,15
2024-01-03,Sugar,Groceries,219,5
2024-02-11,Coffee,Beverages,140,15
2024-02-13,Bread,Bakery,69,2
2024-03-14,Milk,Dairy,487,16
2024-01-05,Biscuits,Snacks,60,1
2024-04-06,Chocolate,Snacks,108,1
2024-02-11,Soap,Household,45,8
2024-01-08,Shampoo,Household,18,8
2024-05-19,Sugar,Groceries,43,13
2024-03-26,Rice,Groceries,407,12
2024-02-23,Detergent,Household,444,20
2024-06-03,Bread,Bakery,43,3
2024-03-25,Coffee,Beverages,315,8
2024-03-20,Detergent,Household,233,17
2024-03-01,Soap,Household,294,14
2024-05-03,Shampoo,Household,100,15
2024-01-04,Biscuits,Snacks,380,16
2024-04-09,Detergent,Household,21,16
2024-05-17,Milk,Dairy,130,17
2024-05-18,Rice,Groceries,12,17
2024-06-15,Sugar,Groceries,287,13
2024-02-26,Milk,Dairy,322,9
2024-03-29,Coffee,Beverages,461,14
2024-04-10,Biscuits,Snacks,407,4
2024-04-06,Rice,Groceries,45,14
2024-02-21,Shampoo,Household,161,13
2024-05-07,Shampoo,Household,106,14
2024-04-13,Coffee,Beverages,87,4
2024-03-15,Detergent,Household,61,10
2024-03-31,Sugar,Groceries,452,17
2024-04-03,Milk,Dairy,122,13
2024-03-26,Detergent,Household,300,17
2024-01-27,Coffee,Beverages,304,19
2024-03-26,Rice,Groceries,134,14
2024-06-13,Bread,Bakery,392,14
2024-01-08,Rice,Groceries,120,14
2024-04-14,Soap,Household,408,15
2024-02-07,Tea,Beverages,388,7
2024-06-19,Chocolate,Snacks,115,13
2024-03-30,Biscuits,Snacks,256,18
2024-06-11,Soap,Household,86,2
2024-03-22,Sugar,Groceries,490,4
2024-05-18,Chocolate,Snacks,210,9
2024-05-29,Shampoo,Household,298,1
2024-03-29,Cooking Oil,Groceries,494,16
2024-04-27,Rice,Groceries,64,17
2024-01-01,Tea,Beverages,427,1
2024-01-24,Milk,Dairy,43,4
2024-05-01,Milk,Dairy,124,12
2024-05-17,Rice,Groceries,118,15
